Product Name,Product Slug,Product Type,Product Category,Series,Is Active,Fixture Template,Driver Spec,Controller Spec,Profile Spec,Lens Spec,LED Tape Spec,Accessory Spec,Is Configurable,Configurator Intro Text,Min Length (mm),Max Length (mm),Length Increment (mm),Short Description,Sublabel,Long Description,Featured Image,Auto Calculate Specs,Auto Populate Attributes,Beam Angle (°),Min Operating Temp (°C),Max Operating Temp (°C),L70 Life (hours),Warranty (years),Fixture Weight per Foot (g),Image_ilLumenate Logo,Image_Spec Line,Image_Hero,Image_Channel Component Image,Image_Channel URL,Image_Tape Component Image,Image_Tape URL,Image_ETL Rated Icon,Image_UL Rated Icon,Image_5V DC Icon,Image_12V DC Icon,Image_24V DC Icon,Image_120V DC Icon,Image_Dry Rated Icon,Image_Damp Rated Icon,Image_Wet Rated Icon,Image_Dimensions 1,Image_Dimensions 2,Image_Dimensions 3,Image_Dimensions 4,Image_Acc Dims 1,Image_Acc Dims 2,Image_Acc Dims 3,Webflow Collection Slug,Last Synced At,Sync Status,Sync Error Message,Allowed Values (JSON) (Configurator Options),Depends on Step (Configurator Options),Is Required (Configurator Options),Option Description (Configurator Options),Option Label (Configurator Options),Option Type (Configurator Options),Step Order (Configurator Options),Component Item (Kit Components),Component Type (Kit Components),Notes (Kit Components),Quantity (Kit Components),Spec DocType (Kit Components),Spec Reference (Kit Components),Alt Text (Gallery Images),Caption (Gallery Images),Display Order (Gallery Images),Image (Gallery Images),Display Order (Documents),Document File (Documents),Document Title (Documents),Document Type (Documents),Attribute DocType (Specifications),Attribute Options (JSON) (Specifications),Display Order (Specifications),Is Calculated (Specifications),Show on Card (Specifications),Specification Group (Specifications),Specification Label (Specifications),Specification Value (Specifications),Unit (Specifications),Attribute DocType (Attribute Links),Attribute Name (Attribute Links),Attribute Type (Attribute Links),Display Label (Attribute Links),Display Order (Attribute Links),Certification (Certifications),Display Order (Certifications),Notes (Compatible Products),Related Product (Compatible Products),Relationship Type (Compatible Products)
Carbon [SB] Static White LED Neon,non-crb-sw,Tape Neon Template,led-neon,Glacier,1,non-crb-sw,,,,,NON-CRB-SW-67-27K-200,,1,,,,,,Angled Neon,,,1,1,110.0,-40,60,50000,5,,,,,,,,,,,,,,,,,,,,,,,,,products,,,,,0,1,,Dry/Wet,Environment Rating,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,CCT,CCT,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,Output,Output Level,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,Length,Length,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,Feed Direction,Feed Direction,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ilL-Attribute-CCT,2700K,CCT,2700K,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ilL-Attribute-CCT,3000K,CCT,3000K,2,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ilL-Attribute-CCT,3500K,CCT,3500K,3,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ilL-Attribute-CCT,4000K,CCT,4000K,4,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ilL-Attribute-Output Level,200 lm/ft,Output Level,200 lm/ft,5,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ilL-Attribute-IP Rating,IP67,IP Rating,IP67,6,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ilL-Attribute-Environment Rating,Wet,Environment Rating,Wet,7,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ilL-Attribute-Mounting Method,Mounting Clip,Mounting Method,Mounting Clip,8,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ilL-Attribute-Mounting Method,Aluminum Channel,Mounting Method,Aluminum Channel,9,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ilL-Attribute-Finish,White,Finish,White,10,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ilL-Attribute-Feed Direction,End,Feed Direction,End,11,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ilL-Attribute-Feed Direction,Back,Feed Direction,Back,12,,,,,
